"committee_name","count"
"DEFEND FREEDOM, INC.",1
"DEM TURNOUT 2024",1
"DEMOCRACY FOR AMERICA",1
"DEMOCRATIC HOPE FUND",1
"DEMOCRATIC POWER, INC.",1
"DEMOCRATS UNITED",1
"DLCC PAC",1
"DONALD J. TRUMP FOR PRESIDENT 2024, INC.",1
"DR. CAMERON WEBB FOR CONGRESS",1
"EDF ACTION VOTES",1
"ELISE FOR CONGRESS",1
"EMILIA SYKES FOR CONGRESS",1
"EQUALITY PAC",1
"ERIC SORENSEN FOR ILLINOIS",1
"EVERYDISTRICT",1
"FLIP THE SENATE PAC",1
"FOR THE MANY ACTION",1
"FORWARD BLUE",1
"FRIENDS OF ANDREW YANG",1
"FRIENDS OF MARK WARNER",1
"FRIENDS OF RAJA FOR CONGRESS",1
"GEORGIA FEDERAL ELECTIONS COMMITTEE",1
"GEORGIA SENATE VICTORY FUND",1
"GIFFORDS PAC",1
"GRAYPAC",1
"HICKENLOOPER FOR COLORADO",1
"HOUSE MAJORITY PAC",1
"HOYER FOR CONGRESS",1
"HUCK PAC",1
"IRETON FOR CONGRESS",1
"JACKSON-US SENATE",1
"JEB 2016, INC.",1
"JEFF JACKSON FOR CONGRESS",1
"JOHN JAMES FOR CONGRESS, INC.",1
"JOHN KENNEDY FOR US",1
"JOHNNY O FOR CONGRESS",1
"JON HOADLEY FOR CONGRESS",1
"JONATHAN JACKSON FOR CONGRESS",1
"JONI FOR IOWA",1
"JOSELINE PENA-MELNYK FOR CONGRESS",1
"JOSH RILEY FOR CONGRESS",1
"JSTREETPAC",1
"KENTUCKY STATE DEMOCRATIC CENTRAL EXECUTIVE COMMITTEE",1
"KEVIN MCCARTHY FOR CONGRESS",1
"LAW ENFORCEMENT FOR A SAFER AMERICA PAC",1
"LET AMERICA VOTE PAC",1
"LEVELL FOR A BETTER AMERICA INC",1
"LYNDON LAROUCHE POLITICAL ACTION COMMITTEE",1
"MAGGIE FOR NH",1
"MAKE DC LISTEN",1
"MARCO RUBIO FOR SENATE 2016",1
"MARK FOR MARYLAND",1
"MATT ROSENDALE FOR MONTANA",1
"MAYA R. CUMMINGS FOR CONGRESS",1
"MCBRIDE FOR DELAWARE INC.",1
"MCCASKILL FOR MISSOURI",1
"MCCORKLE FOR COLORADO",1
"MCCREADY FOR CONGRESS",1
"MCKAYLA WILKES FOR CONGRESS",1
"MICHAEL BLAKE FOR CONGRESS",1
"MONTANANS FOR BULLOCK",1
"MONTANANS FOR TESTER",1
"MONTGOMERY COUNTY DEMOCRATIC CENTRAL COMMITTEE",1
"NANCY PELOSI FOR CONGRESS",1
"NDTC",1
"NEMBHARD FOR CONGRESS",1
"NEW CONGRESS FUND",1
"NEW NATION RISING",1
"OBAMA FOR AMERICA",1
"OUR BLACK PARTY",1
"PAF",1
"PATTY JUDGE FOR IOWA",1
"PEOPLE POWERED ACTION",1
"PERDUE FOR SENATE",1
"PERKINS FOR LOUISIANA",1
"POLICE COALITION OF AMERICA PAC",1
"POLIQUIN FOR CONGRESS",1
"PROGRESSIVE TAKEOVER",1
"PULLEN FOR US",1
"RENACCI FOR US SENATE",1
"RON DESANTIS FOR FLORIDA",1
"SAAFIR FOR CONGRESS",1
"SANFORD BISHOP FOR CONGRESS",1
"SAYLES FOR US",1
"SCHIFF FOR CONGRESS",1
"SCHIFF FOR SENATE",1
"SHAHEEN FOR SENATE",1
"SHEILA CHERFILUS MCCORMICK FOR CONGRESS, INC",1
"SOCIALLY RESPONSIBLE GOVERNMENT",1
"SPANBERGER FOR CONGRESS",1
"STABENOW FOR US SENATE",1
"STEVE IRWIN FOR CONGRESS",1
"SUOZZI FOR CONGRESS",1
"TAMMY FOR ILLINOIS",1
"TEAM GRAHAM, INC.",1
"TERRI HILL FOR CONGRESS",1
"THE 2016 COMMITTEE",1
"THERESA GREENFIELD FOR IOWA",1
"TINA FORTE FOR CONGRESS",1
"TOM ROYALS FOR CONGRESS",1
"TRUMP 47 COMMITTEE, INC.",1
"TULSI ALOHA",1
"UNITED WITH DELIA FOR CONGRESS",1
"VOTE SAVE AMERICA",1
"WARREN DEMOCRATS, INC.",1
"WILEY NICKEL FOR CONGRESS",1
"WILL ROLLINS FOR CONGRESS",1
"YURIPZY MORGAN FOR CONGRESS",1
