committee_name,election_cycle,count,party
MAXWELL ALEJANDRO FROST FOR CONGRESS,2020,2,
MAXWELL ALEJANDRO FROST FOR CONGRESS,2022,2,
MAXWELL ALEJANDRO FROST FOR CONGRESS,2024,2,
MCCONNELL SENATE COMMITTEE,2016,2,
MCCONNELL SENATE COMMITTEE,2018,2,
MCCONNELL SENATE COMMITTEE,2020,2,
MCCONNELL SENATE COMMITTEE,2022,2,
MCCONNELL SENATE COMMITTEE,2024,2,
MIKE ESPY FOR SENATE CAMPAIGN COMMITTEE,2016,2,
MIKE ESPY FOR SENATE CAMPAIGN COMMITTEE,2018,2,
MIKE ESPY FOR SENATE CAMPAIGN COMMITTEE,2020,2,
MIKE ESPY FOR SENATE CAMPAIGN COMMITTEE,2022,2,
MIKE ESPY FOR SENATE CAMPAIGN COMMITTEE,2024,2,
MIKE ROGERS FOR CONGRESS,2016,2,
MIKE ROGERS FOR CONGRESS,2018,2,
MIKE ROGERS FOR CONGRESS,2020,2,
MIKE ROGERS FOR CONGRESS,2022,2,
MIKE ROGERS FOR CONGRESS,2024,2,
PAC TO THE FUTURE,2016,2,
PAC TO THE FUTURE,2018,2,
PAC TO THE FUTURE,2020,2,
PAC TO THE FUTURE,2022,2,
PAC TO THE FUTURE,2024,2,
RAND PAUL FOR US SENATE,2016,2,
RAND PAUL FOR US SENATE,2018,2,
RAND PAUL FOR US SENATE,2020,2,
RAND PAUL FOR US SENATE,2022,2,
RAND PAUL FOR US SENATE,2024,2,
"RYAN FOR CONGRESS, INC.",2016,2,
"RYAN FOR CONGRESS, INC.",2018,2,
"RYAN FOR CONGRESS, INC.",2020,2,
"RYAN FOR CONGRESS, INC.",2022,2,
"RYAN FOR CONGRESS, INC.",2024,2,
SARA GIDEON FOR MAINE,2016,2,
SARA GIDEON FOR MAINE,2018,2,
SARA GIDEON FOR MAINE,2020,2,
SARA GIDEON FOR MAINE,2022,2,
SARA GIDEON FOR MAINE,2024,2,
STOP REPUBLICANS,2016,2,
STOP REPUBLICANS,2018,2,
STOP REPUBLICANS,2020,2,
STOP REPUBLICANS,2022,2,
STOP REPUBLICANS,2024,2,
THE COMMITTEE TO DEFEND THE PRESIDENT,2016,2,
THE COMMITTEE TO DEFEND THE PRESIDENT,2018,2,
THE COMMITTEE TO DEFEND THE PRESIDENT,2020,2,
THE COMMITTEE TO DEFEND THE PRESIDENT,2022,2,
THE COMMITTEE TO DEFEND THE PRESIDENT,2024,2,
WILL JAWANDO FOR MARYLAND,2016,2,
WILL JAWANDO FOR MARYLAND,2018,2,
WILL JAWANDO FOR MARYLAND,2020,2,
WILL JAWANDO FOR MARYLAND,2022,2,
WILL JAWANDO FOR MARYLAND,2024,2,
AMERICA VOTES ACTION FUND,2016,1,
AMERICA VOTES ACTION FUND,2018,1,
AMERICA VOTES ACTION FUND,2020,1,
AMERICA VOTES ACTION FUND,2022,1,
AMERICA VOTES ACTION FUND,2024,1,
AMERICAN ETHIOPIAN PUBLIC AFFAIRS COMMITTEE,2016,1,
AMERICAN ETHIOPIAN PUBLIC AFFAIRS COMMITTEE,2018,1,
AMERICAN ETHIOPIAN PUBLIC AFFAIRS COMMITTEE,2020,1,
AMERICAN ETHIOPIAN PUBLIC AFFAIRS COMMITTEE,2022,1,
AMERICAN ETHIOPIAN PUBLIC AFFAIRS COMMITTEE,2024,1,
AMERICAN POSSIBILITIES PAC,2016,1,
AMERICAN POSSIBILITIES PAC,2018,1,
AMERICAN POSSIBILITIES PAC,2020,1,
AMERICAN POSSIBILITIES PAC,2022,1,
AMERICAN POSSIBILITIES PAC,2024,1,
AMY MCGRATH FOR CONGRESS,2016,1,
AMY MCGRATH FOR CONGRESS,2018,1,
AMY MCGRATH FOR CONGRESS,2020,1,
AMY MCGRATH FOR CONGRESS,2022,1,
AMY MCGRATH FOR CONGRESS,2024,1,
ANDY HARRIS FOR CONGRESS,2016,1,
ANDY HARRIS FOR CONGRESS,2018,1,
ANDY HARRIS FOR CONGRESS,2020,1,
ANDY HARRIS FOR CONGRESS,2022,1,
ANDY HARRIS FOR CONGRESS,2024,1,
ANDY KIM FOR NEW JERSEY,2016,1,
ANDY KIM FOR NEW JERSEY,2018,1,
ANDY KIM FOR NEW JERSEY,2020,1,
ANDY KIM FOR NEW JERSEY,2022,1,
ANDY KIM FOR NEW JERSEY,2024,1,
BARBARA LEE FOR US SENATE,2016,1,
BARBARA LEE FOR US SENATE,2018,1,
BARBARA LEE FOR US SENATE,2020,1,
BARBARA LEE FOR US SENATE,2022,1,
BARBARA LEE FOR US SENATE,2024,1,
BERGMANN FOR CONGRESS CAMPAIGN,2016,1,
BERGMANN FOR CONGRESS CAMPAIGN,2018,1,
BERGMANN FOR CONGRESS CAMPAIGN,2020,1,
BERGMANN FOR CONGRESS CAMPAIGN,2022,1,
BERGMANN FOR CONGRESS CAMPAIGN,2024,1,
BLUE VICTORY FUND PAC,2016,1,
BLUE VICTORY FUND PAC,2018,1,
BLUE VICTORY FUND PAC,2020,1,
BLUE VICTORY FUND PAC,2022,1,
BLUE VICTORY FUND PAC,2024,1,
BOB CASEY FOR SENATE INC,2016,1,
BOB CASEY FOR SENATE INC,2018,1,
BOB CASEY FOR SENATE INC,2020,1,
BOB CASEY FOR SENATE INC,2022,1,
BOB CASEY FOR SENATE INC,2024,1,
BOOKER FOR KENTUCKY,2016,1,
BOOKER FOR KENTUCKY,2018,1,
BOOKER FOR KENTUCKY,2020,1,
BOOKER FOR KENTUCKY,2022,1,
BOOKER FOR KENTUCKY,2024,1,
"BOOKER FOR THE PEOPLE, LTD",2016,1,
"BOOKER FOR THE PEOPLE, LTD",2018,1,
"BOOKER FOR THE PEOPLE, LTD",2020,1,
"BOOKER FOR THE PEOPLE, LTD",2022,1,
"BOOKER FOR THE PEOPLE, LTD",2024,1,
BOWMAN FOR CONGRESS,2016,1,
BOWMAN FOR CONGRESS,2018,1,
BOWMAN FOR CONGRESS,2020,1,
BOWMAN FOR CONGRESS,2022,1,
BOWMAN FOR CONGRESS,2024,1,
BULLOCK FOR PRESIDENT,2016,1,
BULLOCK FOR PRESIDENT,2018,1,
BULLOCK FOR PRESIDENT,2020,1,
BULLOCK FOR PRESIDENT,2022,1,
BULLOCK FOR PRESIDENT,2024,1,
CAL FOR NC,2016,1,
CAL FOR NC,2018,1,
CAL FOR NC,2020,1,
CAL FOR NC,2022,1,
CAL FOR NC,2024,1,
CAP-PAC SEPARATE SEGREGATED FUND OF THE NATIONAL COMMUNITY ACTION FOUNDATION INC,2016,1,
CAP-PAC SEPARATE SEGREGATED FUND OF THE NATIONAL COMMUNITY ACTION FOUNDATION INC,2018,1,
CAP-PAC SEPARATE SEGREGATED FUND OF THE NATIONAL COMMUNITY ACTION FOUNDATION INC,2020,1,
CAP-PAC SEPARATE SEGREGATED FUND OF THE NATIONAL COMMUNITY ACTION FOUNDATION INC,2022,1,
CAP-PAC SEPARATE SEGREGATED FUND OF THE NATIONAL COMMUNITY ACTION FOUNDATION INC,2024,1,
CARAVEO FOR CONGRESS,2016,1,
CARAVEO FOR CONGRESS,2018,1,
CARAVEO FOR CONGRESS,2020,1,
CARAVEO FOR CONGRESS,2022,1,
CARAVEO FOR CONGRESS,2024,1,
CATHERINE CORTEZ MASTO FOR SENATE,2016,1,
CATHERINE CORTEZ MASTO FOR SENATE,2018,1,
CATHERINE CORTEZ MASTO FOR SENATE,2020,1,
CATHERINE CORTEZ MASTO FOR SENATE,2022,1,
CATHERINE CORTEZ MASTO FOR SENATE,2024,1,
CATHERINE CORTEZ-MASTO FOR SENATE,2016,1,
CATHERINE CORTEZ-MASTO FOR SENATE,2018,1,
CATHERINE CORTEZ-MASTO FOR SENATE,2020,1,
CATHERINE CORTEZ-MASTO FOR SENATE,2022,1,
CATHERINE CORTEZ-MASTO FOR SENATE,2024,1,
CHRIS DELUZIO FOR CONGRESS,2016,1,
CHRIS DELUZIO FOR CONGRESS,2018,1,
CHRIS DELUZIO FOR CONGRESS,2020,1,
CHRIS DELUZIO FOR CONGRESS,2022,1,
CHRIS DELUZIO FOR CONGRESS,2024,1,
CITIZENS FOR TURNER,2016,1,
CITIZENS FOR TURNER,2018,1,
CITIZENS FOR TURNER,2020,1,
CITIZENS FOR TURNER,2022,1,
CITIZENS FOR TURNER,2024,1,
COLIN BYRD FOR CONGRESS,2016,1,
COLIN BYRD FOR CONGRESS,2018,1,
COLIN BYRD FOR CONGRESS,2020,1,
COLIN BYRD FOR CONGRESS,2022,1,
COLIN BYRD FOR CONGRESS,2024,1,
COLLINS FOR SENATOR,2016,1,
COLLINS FOR SENATOR,2018,1,
COLLINS FOR SENATOR,2020,1,
COLLINS FOR SENATOR,2022,1,
COLLINS FOR SENATOR,2024,1,
COLOROFCHANGE PAC,2016,1,
COLOROFCHANGE PAC,2018,1,
COLOROFCHANGE PAC,2020,1,
COLOROFCHANGE PAC,2022,1,
COLOROFCHANGE PAC,2024,1,
COMMITTEE TO ELECT PAM KEITH,2016,1,
COMMITTEE TO ELECT PAM KEITH,2018,1,
COMMITTEE TO ELECT PAM KEITH,2020,1,
COMMITTEE TO ELECT PAM KEITH,2022,1,
COMMITTEE TO ELECT PAM KEITH,2024,1,
COMMON POWER,2016,1,
COMMON POWER,2018,1,
COMMON POWER,2020,1,
COMMON POWER,2022,1,
COMMON POWER,2024,1,
CONGRESSIONAL PROGRESSIVE CAUCUS PAC,2016,1,
CONGRESSIONAL PROGRESSIVE CAUCUS PAC,2018,1,
CONGRESSIONAL PROGRESSIVE CAUCUS PAC,2020,1,
CONGRESSIONAL PROGRESSIVE CAUCUS PAC,2022,1,
CONGRESSIONAL PROGRESSIVE CAUCUS PAC,2024,1,
CONNOLLY FOR CONGRESS,2016,1,
CONNOLLY FOR CONGRESS,2018,1,
CONNOLLY FOR CONGRESS,2020,1,
CONNOLLY FOR CONGRESS,2022,1,
CONNOLLY FOR CONGRESS,2024,1,
CONOLE FOR CONGRESS,2016,1,
CONOLE FOR CONGRESS,2018,1,
CONOLE FOR CONGRESS,2020,1,
CONOLE FOR CONGRESS,2022,1,
CONOLE FOR CONGRESS,2024,1,
CORI BUSH FOR CONGRESS,2016,1,
CORI BUSH FOR CONGRESS,2018,1,
CORI BUSH FOR CONGRESS,2020,1,
CORI BUSH FOR CONGRESS,2022,1,
CORI BUSH FOR CONGRESS,2024,1,
COUNCIL FOR A LIVABLE WORLD CANDIDATE FUND,2016,1,
COUNCIL FOR A LIVABLE WORLD CANDIDATE FUND,2018,1,
COUNCIL FOR A LIVABLE WORLD CANDIDATE FUND,2020,1,
COUNCIL FOR A LIVABLE WORLD CANDIDATE FUND,2022,1,
COUNCIL FOR A LIVABLE WORLD CANDIDATE FUND,2024,1,
DAN COX FOR CONGRESS,2016,1,
DAN COX FOR CONGRESS,2018,1,
DAN COX FOR CONGRESS,2020,1,
DAN COX FOR CONGRESS,2022,1,
DAN COX FOR CONGRESS,2024,1,
"DAN COX FOR CONGRESS, INC.",2016,1,
"DAN COX FOR CONGRESS, INC.",2018,1,
"DAN COX FOR CONGRESS, INC.",2020,1,
"DAN COX FOR CONGRESS, INC.",2022,1,
"DAN COX FOR CONGRESS, INC.",2024,1,
"DEFEND FREEDOM, INC.",2016,1,
"DEFEND FREEDOM, INC.",2018,1,
"DEFEND FREEDOM, INC.",2020,1,
"DEFEND FREEDOM, INC.",2022,1,
"DEFEND FREEDOM, INC.",2024,1,
DEM TURNOUT 2024,2016,1,
DEM TURNOUT 2024,2018,1,
DEM TURNOUT 2024,2020,1,
DEM TURNOUT 2024,2022,1,
DEM TURNOUT 2024,2024,1,
DEMOCRACY FOR AMERICA,2016,1,
DEMOCRACY FOR AMERICA,2018,1,
DEMOCRACY FOR AMERICA,2020,1,
DEMOCRACY FOR AMERICA,2022,1,
DEMOCRACY FOR AMERICA,2024,1,
DEMOCRATIC HOPE FUND,2016,1,
DEMOCRATIC HOPE FUND,2018,1,
DEMOCRATIC HOPE FUND,2020,1,
DEMOCRATIC HOPE FUND,2022,1,
DEMOCRATIC HOPE FUND,2024,1,
"DEMOCRATIC POWER, INC.",2016,1,
"DEMOCRATIC POWER, INC.",2018,1,
"DEMOCRATIC POWER, INC.",2020,1,
"DEMOCRATIC POWER, INC.",2022,1,
"DEMOCRATIC POWER, INC.",2024,1,
DEMOCRATS UNITED,2016,1,
DEMOCRATS UNITED,2018,1,
DEMOCRATS UNITED,2020,1,
DEMOCRATS UNITED,2022,1,
DEMOCRATS UNITED,2024,1,
DLCC PAC,2016,1,
DLCC PAC,2018,1,
DLCC PAC,2020,1,
DLCC PAC,2022,1,
DLCC PAC,2024,1,
"DONALD J. TRUMP FOR PRESIDENT 2024, INC.",2016,1,
"DONALD J. TRUMP FOR PRESIDENT 2024, INC.",2018,1,
"DONALD J. TRUMP FOR PRESIDENT 2024, INC.",2020,1,
"DONALD J. TRUMP FOR PRESIDENT 2024, INC.",2022,1,
"DONALD J. TRUMP FOR PRESIDENT 2024, INC.",2024,1,
DR. CAMERON WEBB FOR CONGRESS,2016,1,
DR. CAMERON WEBB FOR CONGRESS,2018,1,
DR. CAMERON WEBB FOR CONGRESS,2020,1,
DR. CAMERON WEBB FOR CONGRESS,2022,1,
DR. CAMERON WEBB FOR CONGRESS,2024,1,
EDF ACTION VOTES,2016,1,
EDF ACTION VOTES,2018,1,
EDF ACTION VOTES,2020,1,
EDF ACTION VOTES,2022,1,
EDF ACTION VOTES,2024,1,
ELISE FOR CONGRESS,2016,1,
ELISE FOR CONGRESS,2018,1,
ELISE FOR CONGRESS,2020,1,
ELISE FOR CONGRESS,2022,1,
ELISE FOR CONGRESS,2024,1,
EMILIA SYKES FOR CONGRESS,2016,1,
EMILIA SYKES FOR CONGRESS,2018,1,
EMILIA SYKES FOR CONGRESS,2020,1,
EMILIA SYKES FOR CONGRESS,2022,1,
EMILIA SYKES FOR CONGRESS,2024,1,
EQUALITY PAC,2016,1,
EQUALITY PAC,2018,1,
EQUALITY PAC,2020,1,
EQUALITY PAC,2022,1,
EQUALITY PAC,2024,1,
ERIC SORENSEN FOR ILLINOIS,2016,1,
ERIC SORENSEN FOR ILLINOIS,2018,1,
ERIC SORENSEN FOR ILLINOIS,2020,1,
ERIC SORENSEN FOR ILLINOIS,2022,1,
ERIC SORENSEN FOR ILLINOIS,2024,1,
EVERYDISTRICT,2016,1,
EVERYDISTRICT,2018,1,
EVERYDISTRICT,2020,1,
EVERYDISTRICT,2022,1,
EVERYDISTRICT,2024,1,
FLIP THE SENATE PAC,2016,1,
FLIP THE SENATE PAC,2018,1,
FLIP THE SENATE PAC,2020,1,
FLIP THE SENATE PAC,2022,1,
FLIP THE SENATE PAC,2024,1,
FOR THE MANY ACTION,2016,1,
FOR THE MANY ACTION,2018,1,
FOR THE MANY ACTION,2020,1,
FOR THE MANY ACTION,2022,1,
FOR THE MANY ACTION,2024,1,
FORWARD BLUE,2016,1,
FORWARD BLUE,2018,1,
FORWARD BLUE,2020,1,
FORWARD BLUE,2022,1,
FORWARD BLUE,2024,1,
FRIENDS OF ANDREW YANG,2016,1,
FRIENDS OF ANDREW YANG,2018,1,
FRIENDS OF ANDREW YANG,2020,1,
FRIENDS OF ANDREW YANG,2022,1,
FRIENDS OF ANDREW YANG,2024,1,
FRIENDS OF MARK WARNER,2016,1,
FRIENDS OF MARK WARNER,2018,1,
FRIENDS OF MARK WARNER,2020,1,
FRIENDS OF MARK WARNER,2022,1,
FRIENDS OF MARK WARNER,2024,1,
FRIENDS OF RAJA FOR CONGRESS,2016,1,
FRIENDS OF RAJA FOR CONGRESS,2018,1,
FRIENDS OF RAJA FOR CONGRESS,2020,1,
FRIENDS OF RAJA FOR CONGRESS,2022,1,
FRIENDS OF RAJA FOR CONGRESS,2024,1,
GEORGIA FEDERAL ELECTIONS COMMITTEE,2016,1,
GEORGIA FEDERAL ELECTIONS COMMITTEE,2018,1,
GEORGIA FEDERAL ELECTIONS COMMITTEE,2020,1,
GEORGIA FEDERAL ELECTIONS COMMITTEE,2022,1,
GEORGIA FEDERAL ELECTIONS COMMITTEE,2024,1,
GEORGIA SENATE VICTORY FUND,2016,1,
GEORGIA SENATE VICTORY FUND,2018,1,
GEORGIA SENATE VICTORY FUND,2020,1,
GEORGIA SENATE VICTORY FUND,2022,1,
GEORGIA SENATE VICTORY FUND,2024,1,
GIFFORDS PAC,2016,1,
GIFFORDS PAC,2018,1,
GIFFORDS PAC,2020,1,
GIFFORDS PAC,2022,1,
GIFFORDS PAC,2024,1,
GRAYPAC,2016,1,
GRAYPAC,2018,1,
GRAYPAC,2020,1,
GRAYPAC,2022,1,
GRAYPAC,2024,1,
HICKENLOOPER FOR COLORADO,2016,1,
HICKENLOOPER FOR COLORADO,2018,1,
HICKENLOOPER FOR COLORADO,2020,1,
HICKENLOOPER FOR COLORADO,2022,1,
HICKENLOOPER FOR COLORADO,2024,1,
HOUSE MAJORITY PAC,2016,1,
HOUSE MAJORITY PAC,2018,1,
HOUSE MAJORITY PAC,2020,1,
HOUSE MAJORITY PAC,2022,1,
HOUSE MAJORITY PAC,2024,1,
HOYER FOR CONGRESS,2016,1,
HOYER FOR CONGRESS,2018,1,
HOYER FOR CONGRESS,2020,1,
HOYER FOR CONGRESS,2022,1,
HOYER FOR CONGRESS,2024,1,
HUCK PAC,2016,1,
HUCK PAC,2018,1,
HUCK PAC,2020,1,
HUCK PAC,2022,1,
HUCK PAC,2024,1,
IRETON FOR CONGRESS,2016,1,
IRETON FOR CONGRESS,2018,1,
IRETON FOR CONGRESS,2020,1,
IRETON FOR CONGRESS,2022,1,
IRETON FOR CONGRESS,2024,1,
JACKSON-US SENATE,2016,1,
JACKSON-US SENATE,2018,1,
JACKSON-US SENATE,2020,1,
JACKSON-US SENATE,2022,1,
JACKSON-US SENATE,2024,1,
"JEB 2016, INC.",2016,1,
"JEB 2016, INC.",2018,1,
"JEB 2016, INC.",2020,1,
"JEB 2016, INC.",2022,1,
"JEB 2016, INC.",2024,1,
JEFF JACKSON FOR CONGRESS,2016,1,
JEFF JACKSON FOR CONGRESS,2018,1,
JEFF JACKSON FOR CONGRESS,2020,1,
JEFF JACKSON FOR CONGRESS,2022,1,
JEFF JACKSON FOR CONGRESS,2024,1,
"JOHN JAMES FOR CONGRESS, INC.",2016,1,
"JOHN JAMES FOR CONGRESS, INC.",2018,1,
"JOHN JAMES FOR CONGRESS, INC.",2020,1,
"JOHN JAMES FOR CONGRESS, INC.",2022,1,
"JOHN JAMES FOR CONGRESS, INC.",2024,1,
JOHN KENNEDY FOR US,2016,1,
JOHN KENNEDY FOR US,2018,1,
JOHN KENNEDY FOR US,2020,1,
JOHN KENNEDY FOR US,2022,1,
JOHN KENNEDY FOR US,2024,1,
JOHNNY O FOR CONGRESS,2016,1,
JOHNNY O FOR CONGRESS,2018,1,
JOHNNY O FOR CONGRESS,2020,1,
JOHNNY O FOR CONGRESS,2022,1,
JOHNNY O FOR CONGRESS,2024,1,
JON HOADLEY FOR CONGRESS,2016,1,
JON HOADLEY FOR CONGRESS,2018,1,
JON HOADLEY FOR CONGRESS,2020,1,
JON HOADLEY FOR CONGRESS,2022,1,
JON HOADLEY FOR CONGRESS,2024,1,
JONATHAN JACKSON FOR CONGRESS,2016,1,
JONATHAN JACKSON FOR CONGRESS,2018,1,
JONATHAN JACKSON FOR CONGRESS,2020,1,
JONATHAN JACKSON FOR CONGRESS,2022,1,
JONATHAN JACKSON FOR CONGRESS,2024,1,
JONI FOR IOWA,2016,1,
JONI FOR IOWA,2018,1,
JONI FOR IOWA,2020,1,
JONI FOR IOWA,2022,1,
JONI FOR IOWA,2024,1,
JOSELINE PENA-MELNYK FOR CONGRESS,2016,1,
JOSELINE PENA-MELNYK FOR CONGRESS,2018,1,
JOSELINE PENA-MELNYK FOR CONGRESS,2020,1,
JOSELINE PENA-MELNYK FOR CONGRESS,2022,1,
JOSELINE PENA-MELNYK FOR CONGRESS,2024,1,
JOSH RILEY FOR CONGRESS,2016,1,
JOSH RILEY FOR CONGRESS,2018,1,
JOSH RILEY FOR CONGRESS,2020,1,
JOSH RILEY FOR CONGRESS,2022,1,
JOSH RILEY FOR CONGRESS,2024,1,
JSTREETPAC,2016,1,
JSTREETPAC,2018,1,
JSTREETPAC,2020,1,
JSTREETPAC,2022,1,
JSTREETPAC,2024,1,
KENTUCKY STATE DEMOCRATIC CENTRAL EXECUTIVE COMMITTEE,2016,1,
KENTUCKY STATE DEMOCRATIC CENTRAL EXECUTIVE COMMITTEE,2018,1,
KENTUCKY STATE DEMOCRATIC CENTRAL EXECUTIVE COMMITTEE,2020,1,
KENTUCKY STATE DEMOCRATIC CENTRAL EXECUTIVE COMMITTEE,2022,1,
KENTUCKY STATE DEMOCRATIC CENTRAL EXECUTIVE COMMITTEE,2024,1,
KEVIN MCCARTHY FOR CONGRESS,2016,1,
KEVIN MCCARTHY FOR CONGRESS,2018,1,
KEVIN MCCARTHY FOR CONGRESS,2020,1,
KEVIN MCCARTHY FOR CONGRESS,2022,1,
KEVIN MCCARTHY FOR CONGRESS,2024,1,
LAW ENFORCEMENT FOR A SAFER AMERICA PAC,2016,1,
LAW ENFORCEMENT FOR A SAFER AMERICA PAC,2018,1,
LAW ENFORCEMENT FOR A SAFER AMERICA PAC,2020,1,
LAW ENFORCEMENT FOR A SAFER AMERICA PAC,2022,1,
LAW ENFORCEMENT FOR A SAFER AMERICA PAC,2024,1,
LET AMERICA VOTE PAC,2016,1,
LET AMERICA VOTE PAC,2018,1,
LET AMERICA VOTE PAC,2020,1,
LET AMERICA VOTE PAC,2022,1,
LET AMERICA VOTE PAC,2024,1,
LEVELL FOR A BETTER AMERICA INC,2016,1,
LEVELL FOR A BETTER AMERICA INC,2018,1,
LEVELL FOR A BETTER AMERICA INC,2020,1,
LEVELL FOR A BETTER AMERICA INC,2022,1,
LEVELL FOR A BETTER AMERICA INC,2024,1,
LYNDON LAROUCHE POLITICAL ACTION COMMITTEE,2016,1,
LYNDON LAROUCHE POLITICAL ACTION COMMITTEE,2018,1,
LYNDON LAROUCHE POLITICAL ACTION COMMITTEE,2020,1,
LYNDON LAROUCHE POLITICAL ACTION COMMITTEE,2022,1,
LYNDON LAROUCHE POLITICAL ACTION COMMITTEE,2024,1,
MAGGIE FOR NH,2016,1,
MAGGIE FOR NH,2018,1,
MAGGIE FOR NH,2020,1,
MAGGIE FOR NH,2022,1,
MAGGIE FOR NH,2024,1,
MAKE DC LISTEN,2016,1,
MAKE DC LISTEN,2018,1,
MAKE DC LISTEN,2020,1,
MAKE DC LISTEN,2022,1,
MAKE DC LISTEN,2024,1,
MARCO RUBIO FOR SENATE 2016,2016,1,
MARCO RUBIO FOR SENATE 2016,2018,1,
MARCO RUBIO FOR SENATE 2016,2020,1,
MARCO RUBIO FOR SENATE 2016,2022,1,
MARCO RUBIO FOR SENATE 2016,2024,1,
MARK FOR MARYLAND,2016,1,
MARK FOR MARYLAND,2018,1,
MARK FOR MARYLAND,2020,1,
MARK FOR MARYLAND,2022,1,
MARK FOR MARYLAND,2024,1,
MATT ROSENDALE FOR MONTANA,2016,1,
MATT ROSENDALE FOR MONTANA,2018,1,
MATT ROSENDALE FOR MONTANA,2020,1,
MATT ROSENDALE FOR MONTANA,2022,1,
MATT ROSENDALE FOR MONTANA,2024,1,
MAYA R. CUMMINGS FOR CONGRESS,2016,1,
MAYA R. CUMMINGS FOR CONGRESS,2018,1,
MAYA R. CUMMINGS FOR CONGRESS,2020,1,
MAYA R. CUMMINGS FOR CONGRESS,2022,1,
MAYA R. CUMMINGS FOR CONGRESS,2024,1,
MCBRIDE FOR DELAWARE INC.,2016,1,
MCBRIDE FOR DELAWARE INC.,2018,1,
MCBRIDE FOR DELAWARE INC.,2020,1,
MCBRIDE FOR DELAWARE INC.,2022,1,
MCBRIDE FOR DELAWARE INC.,2024,1,
MCCASKILL FOR MISSOURI,2016,1,
MCCASKILL FOR MISSOURI,2018,1,
MCCASKILL FOR MISSOURI,2020,1,
MCCASKILL FOR MISSOURI,2022,1,
MCCASKILL FOR MISSOURI,2024,1,
MCCORKLE FOR COLORADO,2016,1,
MCCORKLE FOR COLORADO,2018,1,
MCCORKLE FOR COLORADO,2020,1,
MCCORKLE FOR COLORADO,2022,1,
MCCORKLE FOR COLORADO,2024,1,
MCCREADY FOR CONGRESS,2016,1,
MCCREADY FOR CONGRESS,2018,1,
MCCREADY FOR CONGRESS,2020,1,
MCCREADY FOR CONGRESS,2022,1,
MCCREADY FOR CONGRESS,2024,1,
MCKAYLA WILKES FOR CONGRESS,2016,1,
MCKAYLA WILKES FOR CONGRESS,2018,1,
MCKAYLA WILKES FOR CONGRESS,2020,1,
MCKAYLA WILKES FOR CONGRESS,2022,1,
MCKAYLA WILKES FOR CONGRESS,2024,1,
MICHAEL BLAKE FOR CONGRESS,2016,1,
MICHAEL BLAKE FOR CONGRESS,2018,1,
MICHAEL BLAKE FOR CONGRESS,2020,1,
MICHAEL BLAKE FOR CONGRESS,2022,1,
MICHAEL BLAKE FOR CONGRESS,2024,1,
MONTANANS FOR BULLOCK,2016,1,
MONTANANS FOR BULLOCK,2018,1,
MONTANANS FOR BULLOCK,2020,1,
MONTANANS FOR BULLOCK,2022,1,
MONTANANS FOR BULLOCK,2024,1,
MONTANANS FOR TESTER,2016,1,
MONTANANS FOR TESTER,2018,1,
MONTANANS FOR TESTER,2020,1,
MONTANANS FOR TESTER,2022,1,
MONTANANS FOR TESTER,2024,1,
MONTGOMERY COUNTY DEMOCRATIC CENTRAL COMMITTEE,2016,1,
MONTGOMERY COUNTY DEMOCRATIC CENTRAL COMMITTEE,2018,1,
MONTGOMERY COUNTY DEMOCRATIC CENTRAL COMMITTEE,2020,1,
MONTGOMERY COUNTY DEMOCRATIC CENTRAL COMMITTEE,2022,1,
MONTGOMERY COUNTY DEMOCRATIC CENTRAL COMMITTEE,2024,1,
NANCY PELOSI FOR CONGRESS,2016,1,
NANCY PELOSI FOR CONGRESS,2018,1,
NANCY PELOSI FOR CONGRESS,2020,1,
NANCY PELOSI FOR CONGRESS,2022,1,
NANCY PELOSI FOR CONGRESS,2024,1,
NDTC,2016,1,
NDTC,2018,1,
NDTC,2020,1,
NDTC,2022,1,
NDTC,2024,1,
NEMBHARD FOR CONGRESS,2016,1,
NEMBHARD FOR CONGRESS,2018,1,
NEMBHARD FOR CONGRESS,2020,1,
NEMBHARD FOR CONGRESS,2022,1,
NEMBHARD FOR CONGRESS,2024,1,
NEW CONGRESS FUND,2016,1,
NEW CONGRESS FUND,2018,1,
NEW CONGRESS FUND,2020,1,
NEW CONGRESS FUND,2022,1,
NEW CONGRESS FUND,2024,1,
NEW NATION RISING,2016,1,
NEW NATION RISING,2018,1,
NEW NATION RISING,2020,1,
NEW NATION RISING,2022,1,
NEW NATION RISING,2024,1,
OBAMA FOR AMERICA,2016,1,
OBAMA FOR AMERICA,2018,1,
OBAMA FOR AMERICA,2020,1,
OBAMA FOR AMERICA,2022,1,
OBAMA FOR AMERICA,2024,1,
OUR BLACK PARTY,2016,1,
OUR BLACK PARTY,2018,1,
OUR BLACK PARTY,2020,1,
OUR BLACK PARTY,2022,1,
OUR BLACK PARTY,2024,1,
PAF,2016,1,
PAF,2018,1,
PAF,2020,1,
PAF,2022,1,
PAF,2024,1,
PATTY JUDGE FOR IOWA,2016,1,
PATTY JUDGE FOR IOWA,2018,1,
PATTY JUDGE FOR IOWA,2020,1,
PATTY JUDGE FOR IOWA,2022,1,
PATTY JUDGE FOR IOWA,2024,1,
PEOPLE POWERED ACTION,2016,1,
PEOPLE POWERED ACTION,2018,1,
PEOPLE POWERED ACTION,2020,1,
PEOPLE POWERED ACTION,2022,1,
PEOPLE POWERED ACTION,2024,1,
PERDUE FOR SENATE,2016,1,
