committee_name,election_cycle,count,party
EMILY'S LIST,2020,10,Democrat
EMILY'S LIST,2022,10,Democrat
EMILY'S LIST,2024,10,Democrat
JAMIE RASKIN FOR CONGRESS,2016,9,Democrat
JAMIE RASKIN FOR CONGRESS,2018,9,Democrat
JAMIE RASKIN FOR CONGRESS,2020,9,Democrat
JAMIE RASKIN FOR CONGRESS,2022,9,Democrat
JAMIE RASKIN FOR CONGRESS,2024,9,Democrat
"WARREN FOR PRESIDENT, INC.",2016,9,Democrat
"WARREN FOR PRESIDENT, INC.",2018,9,Democrat
"WARREN FOR PRESIDENT, INC.",2020,9,Democrat
"WARREN FOR PRESIDENT, INC.",2022,9,Democrat
"WARREN FOR PRESIDENT, INC.",2024,9,Democrat
ALSOBROOKS VICTORY FUND,2016,8,Democrat
ALSOBROOKS VICTORY FUND,2018,8,Democrat
ALSOBROOKS VICTORY FUND,2020,8,Democrat
ALSOBROOKS VICTORY FUND,2022,8,Democrat
ALSOBROOKS VICTORY FUND,2024,8,Democrat
MAKE AMERICA GREAT AGAIN PAC,2016,8,Republican
MAKE AMERICA GREAT AGAIN PAC,2018,8,Republican
MAKE AMERICA GREAT AGAIN PAC,2020,8,Republican
MAKE AMERICA GREAT AGAIN PAC,2022,8,Republican
MAKE AMERICA GREAT AGAIN PAC,2024,8,Republican
NRCC,2016,8,Republican
NRCC,2018,8,Republican
NRCC,2020,8,Republican
NRCC,2022,8,Republican
NRCC,2024,8,Republican
SAVE AMERICA,2016,8,Republican
SAVE AMERICA,2018,8,Republican
SAVE AMERICA,2020,8,Republican
SAVE AMERICA,2022,8,Republican
SAVE AMERICA,2024,8,Republican
WIN THE ERA PAC,2016,8,Democrat
WIN THE ERA PAC,2018,8,Democrat
WIN THE ERA PAC,2020,8,Democrat
WIN THE ERA PAC,2022,8,Democrat
WIN THE ERA PAC,2024,8,Democrat
DEMOCRATIC ACTION,2016,7,Democrat
DEMOCRATIC ACTION,2018,7,Democrat
DEMOCRATIC ACTION,2020,7,Democrat
